,source,target,ligand,receptor,cpm_threshold,species
50967,ESF1,LE1,SEMA5A,PLXNA1,False,Monodelphis_domestica
50968,ESF1,LE1,SEMA5A,PLXNB3,False,Monodelphis_domestica
50969,ESF1,LE1,SEMA5B,PLXNA1,False,Monodelphis_domestica
50970,ESF1,LE1,SEMA6D,PLXNA1,False,Monodelphis_domestica
50971,ESF1,LE1,SEMA6D,TYROBP,False,Monodelphis_domestica
50972,ESF1,LE1,SEMA7A,PLXNC1,False,Monodelphis_domestica
50973,ESF1,LE1,SHH,SMO,False,Monodelphis_domestica
51135,ESF1,LE1,SST,GPR107,False,Monodelphis_domestica
50974,ESF1,LE1,SST,SSTR1,False,Monodelphis_domestica
50975,ESF1,LE1,SST,SSTR2,False,Monodelphis_domestica
50976,ESF1,LE1,SST,SSTR4,False,Monodelphis_domestica
50977,ESF1,LE1,SST,SSTR5,False,Monodelphis_domestica
50978,ESF1,LE1,TAC1,TACR1,False,Monodelphis_domestica
50979,ESF1,LE1,TAC1,TACR2,False,Monodelphis_domestica
50980,ESF1,LE1,TAC3,TACR3,False,Monodelphis_domestica
51118,ESF1,LE1,TBXAS1,PTGDR2,False,Monodelphis_domestica
51119,ESF1,LE1,TBXAS1,PTGER1,False,Monodelphis_domestica
51120,ESF1,LE1,TBXAS1,TBXA2R,False,Monodelphis_domestica
50981,ESF1,LE1,TG,ASGR1,False,Monodelphis_domestica
50982,ESF1,LE1,TGFA,EGFR,False,Monodelphis_domestica
50983,ESF1,LE1,TGFBR3,TGFB1,False,Monodelphis_domestica
50984,ESF1,LE1,TNF,FFAR2,False,Monodelphis_domestica
50985,ESF1,LE1,TNF,FLT4,False,Monodelphis_domestica
50986,ESF1,LE1,TNF,RIPK1,False,Monodelphis_domestica
50987,ESF1,LE1,TNF,TNFRSF1A,False,Monodelphis_domestica
50988,ESF1,LE1,TNFRSF1A,TNF,False,Monodelphis_domestica
50989,ESF1,LE1,TNFSF10,RIPK1,False,Monodelphis_domestica
50990,ESF1,LE1,TNFSF10,TNFRSF10A,False,Monodelphis_domestica
50991,ESF1,LE1,TNFSF10,TNFRSF11B,False,Monodelphis_domestica
50992,ESF1,LE1,TNFSF11,TNFRSF11A,False,Monodelphis_domestica
50993,ESF1,LE1,TNFSF11,TNFRSF11B,False,Monodelphis_domestica
50994,ESF1,LE1,TNFSF12,TNFRSF12A,False,Monodelphis_domestica
50995,ESF1,LE1,TNFSF13B,TFRC,False,Monodelphis_domestica
50996,ESF1,LE1,TNFSF13B,TNFRSF13B,False,Monodelphis_domestica
50997,ESF1,LE1,TNFSF13B,TNFRSF17,False,Monodelphis_domestica
50998,ESF1,LE1,TNFSF14,LTBR,False,Monodelphis_domestica
50999,ESF1,LE1,TNFSF14,TNFRSF6B,False,Monodelphis_domestica
51000,ESF1,LE1,TNFSF15,TNFRSF6B,False,Monodelphis_domestica
51001,ESF1,LE1,TNFSF9,TNFRSF9,False,Monodelphis_domestica
51121,ESF1,LE1,TPH1,MTNR1A,False,Monodelphis_domestica
51122,ESF1,LE1,TPH1,MTNR1B,False,Monodelphis_domestica
51002,ESF1,LE1,TRH,TRHR,False,Monodelphis_domestica
51003,ESF1,LE1,TSHB,TSHR,False,Monodelphis_domestica
51004,ESF1,LE1,UCN,CRHR2,False,Monodelphis_domestica
51005,ESF1,LE1,UCN3,CRHR2,False,Monodelphis_domestica
51007,ESF1,LE1,VEGFA,FLT1,False,Monodelphis_domestica
51008,ESF1,LE1,VEGFA,GRIN2B,False,Monodelphis_domestica
51006,ESF1,LE1,VEGFA,KDR,False,Monodelphis_domestica
51009,ESF1,LE1,VEGFB,FLT1,False,Monodelphis_domestica
51011,ESF1,LE1,VEGFC,FLT4,False,Monodelphis_domestica
51010,ESF1,LE1,VEGFC,KDR,False,Monodelphis_domestica
51013,ESF1,LE1,VEGFD,FLT4,False,Monodelphis_domestica
51012,ESF1,LE1,VEGFD,KDR,False,Monodelphis_domestica
51014,ESF1,LE1,VIP,AVPR1A,False,Monodelphis_domestica
51015,ESF1,LE1,VIP,DPP4,False,Monodelphis_domestica
51016,ESF1,LE1,VIP,VIPR1,False,Monodelphis_domestica
51017,ESF1,LE1,VIP,VIPR2,False,Monodelphis_domestica
898314,dS3,Epi1,ACER1,S1PR1,False,Homo_sapiens
898315,dS3,Epi1,ACER1,S1PR2,False,Homo_sapiens
898316,dS3,Epi1,ACER1,S1PR3,False,Homo_sapiens
898317,dS3,Epi1,ACER1,S1PR4,False,Homo_sapiens
898318,dS3,Epi1,ACER1,S1PR5,False,Homo_sapiens
898319,dS3,Epi1,ACER2,S1PR1,False,Homo_sapiens
898320,dS3,Epi1,ACER2,S1PR2,False,Homo_sapiens
898321,dS3,Epi1,ACER2,S1PR3,False,Homo_sapiens
898322,dS3,Epi1,ACER2,S1PR4,False,Homo_sapiens
898323,dS3,Epi1,ACER2,S1PR5,False,Homo_sapiens
898324,dS3,Epi1,ACER3,S1PR1,False,Homo_sapiens
898325,dS3,Epi1,ACER3,S1PR2,False,Homo_sapiens
898326,dS3,Epi1,ACER3,S1PR3,False,Homo_sapiens
898327,dS3,Epi1,ACER3,S1PR4,False,Homo_sapiens
898328,dS3,Epi1,ACER3,S1PR5,False,Homo_sapiens
897574,dS3,Epi1,ADCYAP1,SCTR,False,Homo_sapiens
897575,dS3,Epi1,ADCYAP1,VIPR1,False,Homo_sapiens
897576,dS3,Epi1,ADCYAP1,VIPR2,False,Homo_sapiens
897577,dS3,Epi1,ADM,CALCR,False,Homo_sapiens
897578,dS3,Epi1,ADM,CALCRL,False,Homo_sapiens
897579,dS3,Epi1,ADM,MRGPRX2,False,Homo_sapiens
897580,dS3,Epi1,ADM2,CALCR,False,Homo_sapiens
898516,dS3,Epi1,AGRP,MC2R,False,Homo_sapiens
897581,dS3,Epi1,AGRP,MC3R,False,Homo_sapiens
897582,dS3,Epi1,AGRP,MC4R,False,Homo_sapiens
897583,dS3,Epi1,AGRP,MC5R,False,Homo_sapiens
898329,dS3,Epi1,ALOX5,CYSLTR1,False,Homo_sapiens
898330,dS3,Epi1,ALOX5,CYSLTR2,False,Homo_sapiens
898331,dS3,Epi1,ALOX5,FPR2,False,Homo_sapiens
898332,dS3,Epi1,ALOX5AP,CYSLTR1,False,Homo_sapiens
898333,dS3,Epi1,ALOX5AP,CYSLTR2,False,Homo_sapiens
898334,dS3,Epi1,ALOX5AP,FPR2,False,Homo_sapiens
897584,dS3,Epi1,AMH,AMHR2,False,Homo_sapiens
897585,dS3,Epi1,AMH,BMPR1A,False,Homo_sapiens
897586,dS3,Epi1,AMH,BMPR1B,False,Homo_sapiens
897587,dS3,Epi1,ANGPTL1,LILRB3,False,Homo_sapiens
897588,dS3,Epi1,ANGPTL2,LILRB3,False,Homo_sapiens
897589,dS3,Epi1,ANGPTL2,TLR4,False,Homo_sapiens
897590,dS3,Epi1,ANGPTL7,LILRB3,False,Homo_sapiens
